precision,recall,f1-score,accuary
82.27040649199999,82.04463888699999,81.77262320899999,84.679529204
84.614739244,86.72587513699999,85.504567329,87.393467486
79.642935991,75.794753086,77.527365124,81.74365369200001
81.495195574,81.873202845,81.486955336,84.43946485000001
85.449082595,85.37101500300001,85.208893689,87.190762772
                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                    
82.70109271000851,82.35,82.29696277297123,                                                                                                    
